,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
194,Control Dig & Reset (Leak on Service),,08,EMER-1426138,Days & Weekends,Boston Water & Sewer Commi,,,,14,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-21 00:00:00,1,1-617-989 70,HYDE PARK,KARDON RD,195
195,Service Outage,,08,EMER-1370350,Days & Weekends,Phoenix Communications Inc,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Crown Castle,,EMERGENCY,2023-01-12 00:00:00,1,1-212-337 40,HYDE PARK,CUMMINS HY,196
196,Control Dig & Reset (Leak on Service),,08,EMER-1424058,Days & Weekends,Boston Water & Sewer Commi,,,,23,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,1-617-989 70,HYDE PARK,GREENWOOD AV,197
197,Grade 1 Gas Leak,,08,EMER-1076829,Days & Weekends,Eversource Gas,,,,90,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Eversource Gas,,EMERGENCY,2023-01-12 00:00:00,1,1-844-886 93,HYDE PARK,SUMMER ST,198
198,Service Repair (Leak on Service),,08,EMER-1424041,Days & Weekends,Boston Water & Sewer Commi,,,,1279,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-05 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-05 00:00:00,1,1-617-989 70,HYDE PARK,RIVER ST,199
199,INSTALLATION OF CONDUIT,,08,EXCA-1423473,Days & Weekends,Danella Line Co,96,,,824,830,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,800-446-8946,HYDE PARK,RIVER ST,200
200,Sewer Repair (Broken Sewer),,08,EMER-00000,Days & Weekends,A1 pipe restoration Hercul,,,,38,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-04 00:00:00,,Hercules C & G Drain,,EMERGENCY,2023-01-04 00:00:00,1,1-781-251 97,HYDE PARK,WILLIAMS ST,201
201,CASTING REPAIR,,08,EXCA-346865,Days & Weekends,Danella Line Co,,,,1284,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-18 00:00:00,,Verizon,,MAINTENANCE,2023-03-18 00:00:00,1,800-446-8946,HYDE PARK,HYDE PARK AV,202
202,GAS LEAK REPAIR,,07,EXCA-1422401,Days & Weekends,National Grid,,,,47,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,National Grid,,MAINTENANCE,2023-01-15 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,CHARLEMONT,203
203,Gate Repair (Inoperable Gate),,07,EMER-1411744,Days & Weekends,Metro Equipment Corp,,,,398,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-21 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-15 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,NEPONSET AV,204
204,INSTALLATION OF CONDUIT,,07,EXCA-1423469,Days & Weekends,Danella Line Co,150,,,772,778,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,800-446-8946,SOUTH DORCHESTER/MATTAPAN,ADAMS ST,205
205,INSTALLATION OF GAS MAIN,,07,EXCA-1397581,Days & Weekends,Feeney Brothers Excavation,360,,,389,415,ONGOING SECTIONS TOPPED TO GRADE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,NEPONSET AV,206
206,INSTALLATION OF CONDUIT,,07,EXCA-1408642,Days & Weekends,Danella Line Co,38,,,850,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-06 00:00:00,,Verizon,,SERVICE,2023-01-15 00:00:00,1,800-446-8946,SOUTH DORCHESTER/MATTAPAN,ADAMS ST,207
207,Grade 1 Gas Leak,,07,EMER-1323230,Days & Weekends,National Grid,,,,8,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-27 00:00:00,,National Grid,,EMERGENCY,2023-01-15 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,DARLINGTON ST,208
208,INSTALLATION OF WATER SERVICES,,07,EXCA-1390770,Days & Weekends,Better Choice Construction,,,,18,,,2023-02-03 00:00:00,,Better Choice Construction,,SERVICE,2023-02-03 00:00:00,1,857-264-9269,SOUTH DORCHESTER/MATTAPAN,FABYAN ST,209
209,GAS LEAK REPAIR,,07,EXCA-1428701,Days & Weekends,National Grid,,,,35,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,FLORIDA ST,210
210,Emergency - Service Outage,,07,EMER-1370349,Days & Weekends,New England Electrical Con,,,,2066,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Crown Castle,,EMERGENCY,2023-01-12 00:00:00,1,888-632-0931,SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,211
211,Grade 1 Gas Leak,,07,EMER-1323835,Days & Weekends,National Grid,,,,548,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,CUMMINS HWY,212
212,INSTALL WATER & SEWER,,07,EXCA-1430676,Days & Weekends,Ronan 953 LLC,,,,10,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,Ronan 953 LLC,,NEW CONDUIT AND/OR MAIN,2023-01-26 00:00:00,1,617-510-1013,SOUTH DORCHESTER/MATTAPAN,HALLET ST,213
213,Service Outage,,07,EMER-000000,Days & Weekends,Waveguide,,,,90,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Extenet Systems,,EMERGENCY,2023-01-13 00:00:00,1,1-978-995 71,SOUTH DORCHESTER/MATTAPAN,CENTRAL ST,214
214,Casting Repair - Public Safety Concern,,07,EMER-1424059,Days & Weekends,Steven Companies,,,,18,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,HOUGHTON ST,215
215,Grade 1 Gas Leak / EMER-1323835,,07,EMER-1323845,Days & Weekends,National Grid,,,,548,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-13 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,CUMMINS HWY,216
216,Control Locate (Leak on Service),,07,EMER-1424063,Days & Weekends,Boston Water & Sewer Commi,,,,6,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-13 00:00:00,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,ASHMONT PK,217
217,Hydrant Repair (Inoperable Hydrant),,07,EMER-1426136,Days & Weekends,Metro Equipment Corp,,,,15,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-21 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,CENTRE CT,218
218,Grade 1 Gas Leak,,07,EMER-1323856,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,National Grid,,EMERGENCY,2023-01-19 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,BABSON ST,219
219,Grade 1 Gas Leak,,07,EMER-1323864,Days & Weekends,National Grid,,,,103,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,RIVER ST,220
220,Grade 1 Gas Leak,,07,EMER-1323862,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,National Grid,,EMERGENCY,2023-01-21 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,BABSON ST,221
221,Leak Repair (Leak on Street),,07,EMER-1424076,Days & Weekends,Boston Water & Sewer Commi,,,,27,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-18 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-19 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,MARYKNOLL ST,222
222,Service Outage,,07,EMER-1370351,Days & Weekends,Phoenix Communication Inc.,,,,90,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-18 00:00:00,,Crown Castle,,EMERGENCY,2023-01-19 00:00:00,1,888-632-0931,SOUTH DORCHESTER/MATTAPAN,WELLINGTON HILL AV,223
223,INSTALLATION OF CONDUIT,,07,EXCA-1430781,Days & Weekends,Danella Line Co,235,,,20,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-01 00:00:00,1,800-446-8946,SOUTH DORCHESTER/MATTAPAN,GILMER ST,224
224,INSTALLATION OF CONDUIT,,07,EXCA-1430777,Days & Weekends,Danella Line Co,56,,,95,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-28 00:00:00,,Verizon,,SERVICE,2023-01-28 00:00:00,1,800-446-8946,SOUTH DORCHESTER/MATTAPAN,WELLINGTON HILL AV,225
225,Emergency - Cable Repair,,07,EMER-1160681,Days & Weekends,Eversource Electric,,,,2075,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,226
226,Grade 1 Gas Leak,,07,EMER-1323872,Days & Weekends,National Grid,,,,32,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-01-26 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,CALLENDER ST,227
227,Grade 1 Gas Leak,,07,EMER-1323875,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,BABSON ST,228
228,Service Repair (Leak on Service),,07,EMER-1426139,Days & Weekends,Metro Equipment Corp,,,,38,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-24 00:00:00,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,NELSON ST,229
229,Grade 1 Gas Leak / EMER-1323856 / EMER-1323862,,07,EMER-1323870,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,National Grid,,EMERGENCY,2023-01-24 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,BABSON ST,230
230,Grade 1 Gas Leak,,07,EMER-1333311,Days & Weekends,National Grid,,,,21,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,BROWNING AV,231
231,CUT AND CAP,,07,EXCA-1433824,Days & Weekends,Genesis Utilities Corp,,,,1261,1299,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,,Genesis Utilities Corp,,MAINTENANCE,2023-02-08 00:00:00,1,617-699-1602,SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,232
232,Grade 1 Gas Leak,,07,EMER-1333315,Days & Weekends,National Grid,,,,18,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,SOUTH MUNROE ST,233
233,Grade 1 Gas Leak,,07,EMER-1333318,Days & Weekends,National Grid,,,,1085,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,234
234,Emergency - Cable Replacement,,07,EMER-1160683,Days & Weekends,Riley Bro's,,,,2075,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-01 00:00:00,1,1-800-592 20,SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,235
235,Grade 1 Gas Leak,,07,EMER-1333322,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,BABSON ST,236
236,GAS LEAK REPAIR,,07,EXCA-1433465,Days & Weekends,National Grid,,,,38,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,National Grid,,MAINTENANCE,2023-02-10 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,RECTOR RD,237
237,Service Repair (Leak on Service),,07,EMER-1426173,Days & Weekends,Metro Equipment Corp,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,SAVANNAH AV,238
238,Service Repair (Leak on Service),,07,EMER-1426172,Days & Weekends,Metro Equipment Corp,,,,14,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,MARIE ST,239
239,Grade 1 Gas Leak,,07,EMER-1333337,Days & Weekends,National Grid,,,,551,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,PARK ST,240
240,Gas Stoppage,,07,EMER-1333342,Days & Weekends,National Grid,,,,123,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,ASHMONT ST,241
241,Emergency - Service Outage,,07,EMER-1333341,Days & Weekends,National Grid,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,KING ST ,242
242,Grade 1 Gas Leak,,07,EMER-1333340,Days & Weekends,National Grid,,,,59,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WESTGLOW ST,243
243,Grade 1 Gas Leak,,07,EMER-1333337,Days & Weekends,National Grid,,,,551,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,PARK ST,244
244,Grade 1 Gas Leak,,07,EMER-1333328,Days & Weekends,National Grid,,,,68,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,245
245,Grade 1 Gas Leak,,07,EMER-1333327,Days & Weekends,National Grid,,,,108,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,GREENFIELD RD,246
246,Casting Repair - Public Safety Concern,,07,EMER-1358807,Days & Weekends,Sheerin Construction,,,,85,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-05 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-08 00:00:00,1,1-800-592 20,SOUTH DORCHESTER/MATTAPAN,RIVER ST,247
247,GAS LEAK REPAIR,,07,EXCA-1433459,Days & Weekends,National Grid,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,NIGHTINGALE ST,248
248,Grade 1 Gas Leak,,07,EMER-1333331,Days & Weekends,National Grid,,,,1195,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,249
249,Grade 1 Gas Leak,,07,EMER-1333332,Days & Weekends,National Grid,,,,605,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,250
250,GAS LEAK REPAIR,,07,EXCA-1433449,Days & Weekends,Nationalgrid ,,,,70,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,,SOUTH DORCHESTER/MATTAPAN,Minot St ,251
251,GAS LEAK REPAIR,,07,EXCA-1433472,Days & Weekends,National Grid,,,,54,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,ROCKINGHAM RD,252
252,GAS LEAK REPAIR,,07,EXCA-1433467,Days & Weekends,National Grid,,,,166,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,GREENFIELD RD,253
253,GAS LEAK REPAIR,,07,EXCA-1433449,Days & Weekends,National Grid,,,,70,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,MINOT ST,254
254,GAS LEAK REPAIR,,07,EXCA-1433453,Days & Weekends,National Grid,,,,10,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,AVONDALE ST,255
255,GAS LEAK REPAIR,,07,EXCA-1433445,Days & Weekends,National Grid,,,,14,16,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,CROSSMAN ST,256
256,GAS LEAK REPAIR,,07,EXCA-1433465,Days & Weekends,National Grid,,,,38,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,RECTOR RD,257
257,Grade 1 Gas Leak,,07,EMER-1333324,Days & Weekends,National Grid,,,,110,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,MILTON AV,258
258,Grade 1 Gas Leak,,07,EMER-1333324,Days & Weekends,National Grid,,,,110,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,MILTON AVE,259
259,INSTALLATION OF CONDUIT,,07,EXCA-1436900,Days & Weekends,Danella Line Co,115,,,83,93,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-24 00:00:00,1,800-446-8946,SOUTH DORCHESTER/MATTAPAN,STOUGHTON ST,260
260,Service Repair (Leak on Service),,07,EMER-E142617,Days & Weekends,D'Allessandro Corp,,,,25,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,MSGR PATRICK J LYDON WY,261
261,Dig in Doubt (Leak on Service),,07,EMER-1426180,Days & Weekends,Boston Water & Sewer Commi,,,,22,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-09 00:00:00,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,JOHNSTON RD,262
262,Casting Repair - Public Safety Concern,,07,EMER-1333358,Days & Weekends,P V Barone,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,Comcast,,EMERGENCY,2023-02-15 00:00:00,1,1-857-919 93,SOUTH DORCHESTER/MATTAPAN,SAVANNAH  AV,263
263,Grade 1 Gas Leak,,07,EMER-1333357,Days & Weekends,National Grid,,,,67,,ONGOING SECTIONS TOPPED TO GRADE,,,NEGasDispatchersSupervisors@nati,,EMERGENCY,,1,1-877-304 11,SOUTH DORCHESTER/MATTAPAN,CALLENDER ST,264
264,GAS LEAK REPAIR,,07,EMER-1333356,Days & Weekends,National Grid,,,,502,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,National Grid,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,265
265,Sewer Repair (Broken Sewer),,07,EMER-,Days & Weekends,Ronan 953 LLC,,,,95,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,Ronan 953 LLC,,EMERGENCY,2023-02-10 00:00:00,1,1-617-510 10,SOUTH DORCHESTER/MATTAPAN,LYNDHURST ST,266
266,Grade 1 Gas Leak,,07,EMER-1333352,Days & Weekends,National Grid,,,,51,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,National Grid,,EMERGENCY,2023-02-10 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WAINWRIGHT ST,267
267,Grade 1 Gas Leak,,07,EMER-1364988,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,National Grid,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WINSTON RD,268
268,Grade 1 Gas Leak,,07,EMER-1364986,Days & Weekends,National Grid,,,,440,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,National Grid,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,ADAMS ST,269
269,GAS LEAK REPAIR,,07,EXCA-1439940,Days & Weekends,National Grid,,,,572,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,270
270,GAS LEAK REPAIR,,07,EXCA-1439948,Days & Weekends,National Grid,,,,558,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,PARK ST,271
271,,,07,EXCA-1438300,Days & Weekends,Keash Excavation,,,,5,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-20 00:00:00,,Keash Excavation,,SERVICE,2023-02-20 00:00:00,1,857-231-1171,SOUTH DORCHESTER/MATTAPAN,RICE ST,272
272,Grade 1 Gas Leak,,07,EMER-1364992,Days & Weekends,National Grid,,,,30,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,National Grid,,EMERGENCY,2023-02-17 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,BARRY ST,273
273,Emergency - Cable Replacement,,07,EMER-1358823,Days & Weekends,OneSource/Maverick,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-17 00:00:00,1,800-592-2000,SOUTH DORCHESTER/MATTAPAN,OAKMAN ST,274
274,Sewer Repair (Broken Sewer),,07,EMER-1436410,Days & Weekends,Boston Water & Sewer Commi,,,,39,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-22 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-22 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,WENTWORTH ST,275
275,Casting Repair - Public Safety Concern,,07,EMER-1436140,Days & Weekends,G Greene Construction,,,,37,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-18 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-23 00:00:00,1,800-592-2000,SOUTH DORCHESTER/MATTAPAN,KERWIN ST,276
276,INSTALLATION OF STORM WATER VAULT,,07,EXCA-1430630,Days & Weekends,K&K Excavation,,,,26,28,ONGOING SECTIONS TOPPED TO GRADE,2023-03-08 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-08 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,TALBOT AV,277
277,INSTALLATION OF GAS MAIN,,07,EXCA-1420304,Days & Weekends,Feeney Brothers Excavation,,,,102,112,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-17 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,TALBOT AV,278
278,Grade 1 Gas Leak,,07,EMER-1365009,Days & Weekends,National Grid,,,,1357,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,EMERGENCY,2023-02-24 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,BLUE HILL AV,279
279,Casting Repair - Public Safety Concern,,07,EMER-1436416,Days & Weekends,Steven Companies,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,WALNUT ST,Boston Water & Sewer Commission,,EMERGENCY,2023-02-24 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,ERICSSON ST,280
280,Casting Repair - Public Safety Concern,,07,EMER-1436415,Days & Weekends,Steven Companies,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,BLUE HILL AV,Boston Water & Sewer Commission,,EMERGENCY,2023-02-24 00:00:00,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,FAIRWAY ST,281
281,Grade 1 Gas Leak,,07,EMER-1365011,Days & Weekends,National Grid,,,,434,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,EMERGENCY,2023-02-24 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,282
282,,,06,EMER-1376361,Days & Weekends,National Grid,,,,11,,,2023-03-17 00:00:00,,National Grid,,EMERGENCY,2023-03-17 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,COURTNEY RD,283
